chaos_id,canonical_smiles,molecular_formula
1,B,BH3
2,B12B3B4B1C234,CB4
3,B1NBNBN1,B3H6N3
4,BN(C)C,C2H8BN
5,B[Sb](C)C,C2H8BSb
6,Bc1ccc(C=O)s1,C5H5BOS
7,Br,BrH
8,Br/C=C/Br,C2H2Br2
9,Br/C=C/c1ccccc1,C8H7Br
10,Br/C=C/c1ccccc1-c1ccccc1,C14H11Br
11,Br/C=C\Br,C2H2Br2
12,BrB(Br)Br,BBr3
13,BrB(Br)c1ccccc1,C6H5BBr2
14,BrB1NB(Br)NB(Br)N1,B3Br3H3N3
15,BrBBr,BBr2H
16,BrBr,Br2
17,BrC#Cc1ccccc1,C8H5Br
18,BrC(/C=C/c1ccccc1)c1ccccc1,C15H13Br
19,BrC(Br)(Br)Br,CBr4
20,BrC(Br)(Br)I,CBr3I
21,BrC(Br)=C(Br)Br,C2Br4
22,BrC(Br)Br,CHBr3
23,BrC(Br)C(Br)Br,C2H2Br4
24,BrC(Br)C1(c2ccccc2)OCCO1,C10H10Br2O2
25,BrC(Br)C1OCCO1,C4H6Br2O2
26,BrC(Br)CC(Br)Br,C3H4Br4
27,BrC(Br)I,CHBr2I
28,BrC(Br)c1ccccc1,C7H6Br2
29,BrC(C1=NOCCO1)c1ccccc1,C10H10BrNO2
30,BrC(C1CCCO1)C(Br)C1CCCO1,C10H16Br2O2
31,BrC(I)I,CHBrI2
32,BrC(c1ccccc1)(c1ccccc1)c1ccccc1,C19H15Br
33,BrC(c1ccccc1)c1ccccc1,C13H11Br
34,BrC/C=C/CBr,C4H6Br2
35,BrC/C=C/c1ccccc1,C9H9Br
36,BrC/C=C\CBr,C4H6Br2
37,BrC1(Br)C2CCCCC21,C7H10Br2
38,BrC1(Br)CC1c1ccccc1,C9H8Br2
39,BrC1(Br)CCC1,C4H6Br2
40,BrC12CC3CC(C1)CC(Br)(C3)C2,C10H14Br2
41,BrC12CC3CC(CC(C3)C1)C2,C10H15Br
42,BrC12CC3CC4C5CC(CC41)CC2C5C3,C14H19Br
43,BrC12CCC(Br)(CC1)CC2,C8H12Br2
44,BrC1=C(Br)CC1,C4H4Br2
45,BrC1=C(Br)CCC1,C5H6Br2
46,BrC1=CC2CCCCC12,C8H11Br
47,BrC1C2CC3C(C2)C13,C7H9Br
48,BrC1C2CC3CC(C2)CC1C3,C10H15Br
49,BrC1C2CCC(C2)C1P(Br)Br,C7H10Br3P
50,BrC1C=CC(Br)C1,C5H6Br2
51,BrC1C=CCC1,C5H7Br
52,BrC1C=CCCC1,C6H9Br
53,BrC1C=CCCCCC1,C8H13Br
54,BrC1CC1,C3H5Br
55,BrC1CC=CCC1Br,C6H8Br2
56,BrC1CCC(C2CCCC2)C1,C10H17Br
57,BrC1CCC1,C4H7Br
58,BrC1CCC1(Br)Br,C4H5Br3
59,BrC1CCC=CCCC1,C8H13Br
60,BrC1CCC=CCCC=CCCC1Br,C12H18Br2
61,BrC1CCCC1,C5H9Br
62,BrC1CCCC1Br,C5H8Br2
63,BrC1CCCCC1,C6H11Br
64,BrC1CCCCC1Br,C6H10Br2
65,BrC1CCCCCC1,C7H13Br
66,BrC1CCCCCC1Br,C7H12Br2
67,BrC1CCCCCCC1,C8H15Br
68,BrC1CCCCCCC1Br,C8H14Br2
69,BrC1CCCO1,C4H7BrO
70,BrC1CCCOC1,C5H9BrO
71,BrC1CCOC1,C4H7BrO
72,BrC1CCOCC1,C5H9BrO
73,BrC1COCC1Br,C4H6Br2O
74,BrC1c2cccc3cccc(c23)C1Br,C12H8Br2
75,BrC1c2ccccc2-c2ccccc21,C13H9Br
76,BrC=C(Br)Br,C2HBr3
77,BrC=C(c1ccccc1)c1ccccc1,C14H11Br
78,BrCBr,CH2Br2
79,BrCC#CCBr,C4H4Br2
80,BrCC(Br)(Br)Br,C2H2Br4
81,BrCC(Br)(Br)CBr,C3H4Br4
82,BrCC(Br)Br,C2H3Br3
