N,sym,U_ss,U_pp,U_dd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,s_orb_exp_tail,p_orb_exp_tail,d_orb_exp_tail,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,F0SD,G2SD
1,H,-12.555943,0.000000,0.000000,1.226005,0.000000,0.000000,-8.784621,0.000000,0.000000,0.000000,0.000000,0.000000,16.512208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,C,-49.978943,-40.454615,0.000000,2.059351,1.702777,0.000000,-11.518658,-8.494046,0.000000,0.000000,0.000000,0.000000,13.650026,11.894758,11.687484,9.878807,0.865116,0.000000,0.000000,0.000000
7,N,-58.466605,-44.939936,0.000000,2.264442,2.151618,0.000000,-22.389997,-16.848615,0.000000,0.000000,0.000000,0.000000,8.492123,9.358241,11.159553,9.835006,4.376032,0.000000,0.000000,0.000000
8,O,-92.293688,-68.637501,0.000000,4.849014,2.222962,0.000000,-62.846704,-17.601676,0.000000,0.000000,0.000000,0.000000,15.792599,14.909783,13.214558,11.403013,8.876913,0.000000,0.000000,0.000000
9,F,-137.490843,-98.606448,0.000000,6.887660,2.729831,0.000000,-76.004239,-27.486524,0.000000,0.000000,0.000000,0.000000,8.831069,20.766441,11.642692,12.122675,6.706226,0.000000,0.000000,0.000000
11,E11,-4.951734,-2.850303,0.000000,0.890757,0.843127,0.000000,-0.102580,-5.302399,0.000000,0.000000,0.000000,0.000000,5.509021,6.419333,12.048947,14.012731,1.905345,0.000000,0.000000,0.000000
12,E12,-11.963343,-11.691080,0.000000,1.177430,1.147203,0.000000,-5.011248,-1.143707,0.000000,0.000000,0.000000,0.000000,4.807983,7.188512,11.143779,6.660690,0.117655,0.000000,0.000000,0.000000
15,P,-48.756351,-39.471471,-7.099717,1.976796,1.814711,1.386554,-9.083672,-12.089694,-22.229880,4.214167,1.165547,7.950243,8.391979,8.590768,8.896661,7.840717,1.769227,0.000000,0.000000,0.000000
16,S,-52.843847,-36.963565,-46.286796,1.834146,2.010549,3.287060,-13.463696,-10.317390,-13.246007,2.101749,0.646641,1.751660,8.845505,6.391486,7.266253,6.614074,4.978688,0.000000,0.000000,0.000000
17,Cl,-66.260705,-62.260231,-43.701870,2.252681,2.085189,1.218157,1.379620,-12.159789,-5.349926,1.167181,2.376629,8.521131,11.425384,9.477053,10.429611,8.592008,3.131446,0.000000,0.000000,0.000000
19,E19,-4.488524,-2.558549,0.000000,20.792431,1.184519,0.000000,2.835183,-5.452510,0.000000,0.000000,0.000000,0.000000,8.894752,7.919377,5.828768,14.550990,0.200237,0.000000,0.000000,0.000000
20,E20,-11.300403,-11.247092,0.000000,1.136339,1.363917,0.000000,-13.952010,-1.036879,0.000000,0.000000,0.000000,0.000000,5.272154,8.018120,10.402942,9.613439,0.577507,0.000000,0.000000,0.000000
26,E26,-63.113783,-55.170034,-92.796358,0.880513,3.864166,1.471438,-11.896745,-6.156063,-4.538130,0.875727,1.180496,1.971508,4.787513,5.385220,7.032180,6.164392,1.115480,0.000000,8.082118,2.283447
27,E27,-22.470458,9.618320,-28.607733,1.568862,1.542188,1.497675,-5.666196,-4.264045,-2.934168,0.545245,1.757743,0.375429,2.980799,3.696845,10.470824,9.178698,0.082171,0.000000,1.305300,1.762694
30,E30,-18.232406,-11.467727,0.000000,1.420592,1.747003,0.000000,-14.240217,1.361082,0.000000,0.000000,0.000000,0.000000,9.123115,6.123384,15.821591,7.490824,0.000000,0.000000,0.000000,0.000000
34,E34,-45.411436,-31.486458,0.000000,2.000881,1.830339,0.000000,-18.630446,-6.482307,0.000000,0.000000,0.000000,0.000000,5.353538,4.633433,6.925751,6.257031,5.231832,0.000000,0.000000,0.000000
35,Br,-58.733039,-47.961352,11.956705,3.310964,2.314547,2.059060,-28.119812,-12.086973,-12.281770,1.275621,6.894112,1.643872,12.247473,7.505384,9.631343,7.997521,10.027972,0.000000,0.000000,0.000000
53,I,-60.492847,-57.784728,-49.994120,4.200890,2.093774,1.574184,-35.120598,-8.661346,-4.804435,7.311243,7.182059,1.859010,6.828945,8.633420,10.120959,7.861864,1.384829,0.000000,0.000000,0.000000
